LineID,Subsystem,Sensor,Value
1,Subsystem B,Sensor F,10.949
2,Subsystem B,Sensor H,6.256
3,Subsystem C,Sensor L,8.368
4,Subsystem C,Sensor J,1.612
5,Subsystem D,Sensor P,-1.135
6,Subsystem A,Sensor D,3.130
7,Subsystem C,Sensor J,1.453
8,Subsystem C,Sensor K,5.475
9,Subsystem B,Sensor H,6.199
10,Subsystem B,Sensor G,14.196
11,Subsystem B,Sensor H,4.774
12,Subsystem A,Sensor A,8.818
13,Subsystem A,Sensor B,1.168
14,Subsystem D,Sensor N,-1.168
15,Subsystem D,Sensor N,-2.318
16,Subsystem C,Sensor K,5.322
17,Subsystem C,Sensor J,1.575
18,Subsystem B,Sensor H,3.310
19,Subsystem A,Sensor C,5.299
20,Subsystem D,Sensor M,-2.838
21,Subsystem D,Sensor P,-1.259
22,Subsystem B,Sensor E,11.156
23,Subsystem B,Sensor E,11.629
24,Subsystem B,Sensor H,5.530
25,Subsystem A,Sensor C,9.146
26,Subsystem D,Sensor N,-2.642
27,Subsystem C,Sensor I,7.469
28,Subsystem B,Sensor F,13.729
29,Subsystem A,Sensor D,2.570
30,Subsystem A,Sensor C,4.451
31,Subsystem B,Sensor E,9.767
32,Subsystem D,Sensor O,-1.067
33,Subsystem B,Sensor H,4.422
34,Subsystem A,Sensor B,1.836
35,Subsystem A,Sensor A,7.150
36,Subsystem A,Sensor A,7.514
37,Subsystem D,Sensor M,-2.970
38,Subsystem A,Sensor D,1.848
39,Subsystem B,Sensor H,4.110
40,Subsystem D,Sensor P,-2.312
41,Subsystem A,Sensor C,4.523
42,Subsystem D,Sensor N,-1.417
43,Subsystem C,Sensor L,8.617
44,Subsystem D,Sensor O,-2.565
45,Subsystem D,Sensor M,-2.018
46,Subsystem A,Sensor A,8.497
47,Subsystem C,Sensor I,12.189
48,Subsystem B,Sensor F,14.663
49,Subsystem B,Sensor G,13.958
50,Subsystem C,Sensor I,9.503
51,Subsystem B,Sensor F,13.838
52,Subsystem C,Sensor J,1.364
53,Subsystem D,Sensor N,-1.564
54,Subsystem B,Sensor H,6.816
55,Subsystem D,Sensor M,-2.901
56,Subsystem B,Sensor G,12.580
57,Subsystem B,Sensor E,10.651
58,Subsystem C,Sensor K,5.082
59,Subsystem A,Sensor C,6.936
60,Subsystem C,Sensor L,8.465
61,Subsystem A,Sensor D,3.180
62,Subsystem D,Sensor O,-1.586
63,Subsystem C,Sensor J,1.674
64,Subsystem C,Sensor I,11.215
65,Subsystem C,Sensor K,7.275
66,Subsystem C,Sensor J,1.677
67,Subsystem D,Sensor P,-0.724
68,Subsystem C,Sensor J,1.881
69,Subsystem A,Sensor D,3.611
70,Subsystem D,Sensor P,-0.127
71,Subsystem C,Sensor L,9.690
72,Subsystem C,Sensor I,9.690
73,Subsystem D,Sensor O,-2.929
74,Subsystem D,Sensor N,-1.791
75,Subsystem B,Sensor G,12.370
76,Subsystem C,Sensor I,7.393
77,Subsystem C,Sensor I,9.303
78,Subsystem C,Sensor I,9.254
79,Subsystem D,Sensor M,-2.695
80,Subsystem D,Sensor P,-1.788
81,Subsystem C,Sensor L,9.870
82,Subsystem C,Sensor L,8.058
83,Subsystem C,Sensor K,8.173
84,Subsystem B,Sensor G,13.659
85,Subsystem C,Sensor L,7.501
86,Subsystem D,Sensor P,-0.228
87,Subsystem B,Sensor H,3.001
88,Subsystem B,Sensor H,4.064
89,Subsystem B,Sensor H,3.823
90,Subsystem B,Sensor F,14.149
91,Subsystem C,Sensor K,5.833
92,Subsystem A,Sensor D,2.796
93,Subsystem D,Sensor N,-1.508
94,Subsystem B,Sensor F,11.598
